Unique Tree Identifier,Species,DBH (cm),CBH (cm),Epicormic resprouting,Basal resprouting,Number of basal resprouts,Topkill,Death,Height (m) - Nikon forestry,MaxR (m),MinR1 (m),MinR2 (m),Resprouting proportion,
1,Eucalyptus sieberi,36.0,113,1,0,0,0,0,25.60,18.80,1.80,3.00,0.70,
2,Eucalyptus sieberi,9.6,30,0,1,4,1,0,21.60,0.00,0.00,0.00,0.00,
3,Eucalyptus sieberi,11.1,35,0,1,3,1,0,19.40,0.00,0.00,0.00,0.00,
4,Eucalyptus sieberi,4.8,15,0,0,0,1,1,30.60,0.00,0.00,0.00,0.00,
5,Corymbia gummifera,12.1,38,0,1,6,1,0,9.80,0.00,0.00,0.00,0.00,
6,Eucalyptus sieberi,21.3,67,1,1,4,0,0,26.40,2.32,2.12,2.32,0.25,
7,Corymbia gummifera,4.5,14,0,1,3,1,0,8.20,0.00,0.00,0.00,0.00,
8,Corymbia gummifera,54.1,170,1,1,6,0,0,19.50,18.00,3.00,3.30,0.90,
9,Eucalyptus sieberi,41.4,130,1,0,0,0,0,22.00,17.60,0.50,1.07,0.65,
10,Eucalyptus baxteri,23.2,73,1,1,2,1,0,25.80,0.00,0.00,0.00,0.00,
11,Corymbia gummifera,26.4,83,1,1,6,0,0,14.60,12.80,4.50,5.00,0.15,
12,Corymbia gummifera,24.2,76,1,1,3,0,0,23.40,14.20,1.55,2.79,0.70,
13,Eucalyptus baxteri,30.9,97,1,1,7,0,0,25.40,22.40,0.59,1.07,0.85,
14,Eucalyptus baxteri,35.0,110,1,1,1,0,0,24.50,22.20,1.95,2.00,0.90,
15,Corymbia gummifera,28.0,88,0,1,2,1,0,4.20,0.00,0.00,0.00,0.00,
16,Eucalyptus baxteri,19.1,60,0,1,1,1,0,16.00,0.00,0.00,0.00,0.00,
17,Eucalyptus baxteri,5.7,18,0,1,3,1,0,9.80,0.00,0.00,0.00,0.00,
18,Eucalyptus baxteri,4.1,13,0,1,2,1,0,6.00,0.00,0.00,0.00,0.00,
19,Eucalyptus sieberi,37.3,117,1,0,0,0,0,24.40,8.20,0.72,0.74,0.35,
20,Eucalyptus baxteri,54.5,171,1,1,1,0,0,27.40,24.80,1.57,1.70,0.60,
21,Eucalyptus sieberi,12.1,38,0,0,0,0,0,18.60,0.00,0.00,0.00,0.30,
22,Eucalyptus sieberi,96.5,303,1,1,1,0,0,26.60,16.00,0.00,0.00,0.40,
23,Corymbia gummifera,8.3,26,0,1,3,1,0,6.80,0.00,0.00,0.00,0.00,
24,Eucalyptus baxteri,11.5,36,0,1,1,1,0,NA,0.00,0.00,0.00,0.00,
25,Corymbia gummifera,100.6,316,1,1,7,0,0,20.80,16.80,2.19,2.49,0.20,
26,Eucalyptus globoidea,41.7,131,1,0,0,0,0,24.60,21.60,1.98,2.02,0.70,
27,Eucalyptus baxteri,20.4,64,0,1,4,1,0,19.00,0.00,0.00,0.00,0.00,
28,Eucalyptus sieberi,17.5,55,0,1,2,1,0,17.20,0.00,0.00,0.00,0.00,
29,Eucalyptus baxteri,36.3,114,1,1,4,0,0,21.00,19.20,1.61,2.88,0.80,
30,Eucalyptus baxteri,15.0,47,0,0,0,1,1,19.20,0.00,0.00,0.00,0.00,
31,Corymbia gummifera,9.6,30,0,1,3,1,0,10.80,0.00,0.00,0.00,0.00,
32,Eucalyptus baxteri,49.4,155,1,0,0,0,0,26.20,8.00,0.95,1.25,0.10,
33,Corymbia gummifera,5.7,18,0,1,2,1,0,NA,0.00,0.00,0.00,0.00,
34,Eucalyptus sieberi,4.5,14,0,0,0,1,1,13.80,0.00,0.00,0.00,0.00,
35,Eucalyptus sieberi,8.9,28,0,0,0,1,1,15.80,0.00,0.00,0.00,0.00,
36,Corymbia gummifera,109.6,344,1,1,3,0,0,27.20,26.70,9.30,10.40,0.50,
37,Corymbia gummifera,36.3,114,1,1,2,0,0,22.50,21.00,3.19,3.24,0.70,
38,Corymbia gummifera,94.3,296,1,1,1,0,0,24.00,23.00,1.65,2.14,0.55,
39,Eucalyptus baxteri,41.4,130,1,0,0,0,0,24.00,21.60,1.32,1.67,0.80,
40,Eucalyptus sieberi,38.2,120,1,1,1,0,0,21.70,19.80,0.51,0.64,0.70,
41,Corymbia gummifera,47.8,150,1,0,0,0,0,24.60,24.60,0.87,1.06,0.80,
42,Corymbia gummifera,38.5,121,1,1,1,0,0,18.80,11.80,0.50,1.49,0.55,
43,Eucalyptus baxteri,2.9,9,0,1,3,1,0,5.40,0.00,0.00,0.00,0.00,
44,Eucalyptus baxteri,6.1,19,0,1,6,1,0,4.50,0.00,0.00,0.00,0.00,
45,Eucalyptus sieberi,90.1,283,1,0,0,1,1,26.60,0.00,0.00,0.00,0.00,
46,Corymbia gummifera,4.8,15,0,0,0,1,1,4.10,0.00,0.00,0.00,0.00,
47,Corymbia gummifera,8.0,25,0,1,6,1,0,10.10,0.00,0.00,0.00,0.00,
48,Corymbia gummifera,43.6,137,1,0,0,0,0,23.00,13.50,0.49,2.20,0.55,
49,Eucalyptus sieberi,123.2,387,1,0,0,1,1,32.60,0.00,0.00,0.00,0.00,
50,Eucalyptus sieberi,102.9,323,1,0,0,0,0,27.40,10.20,2.54,3.98,0.10,
51,Eucalyptus sieberi,118.5,372,1,0,0,1,1,33.20,0.00,0.00,0.00,0.00,
52,Corymbia gummifera,42.4,133,1,1,10,0,0,16.40,9.70,2.05,2.46,0.50,
53,Eucalyptus sieberi,86.3,271,1,1,1,1,1,33.20,0.00,0.00,0.00,0.00,
54,Corymbia gummifera,14.0,44,0,1,2,1,0,10.30,0.00,0.00,0.00,0.00,
55,Eucalyptus baxteri,85.4,268,1,0,0,0,0,24.00,23.00,0.90,1.21,0.75,
56,Eucalyptus sieberi,8.6,27,0,0,0,1,1,10.00,0.00,0.00,0.00,0.00,
57,Eucalyptus baxteri,8.9,28,0,1,4,1,0,10.60,0.00,0.00,0.00,0.00,
58,Eucalyptus baxteri,7.3,23,0,1,2,1,0,7.60,0.00,0.00,0.00,0.00,
59,Eucalyptus baxteri,14.3,45,0,1,2,1,0,21.60,0.00,0.00,0.00,0.00,
60,Eucalyptus sieberi,15.0,47,1,1,1,0,0,12.00,1.11,0.74,1.11,0.40,
61,Eucalyptus sieberi,27.7,87,1,0,0,0,0,23.60,16.40,0.46,1.42,0.40,
62,Eucalyptus baxteri,10.2,32,1,1,1,0,0,12.40,0.27,0.27,NA,0.15,
63,Corymbia gummifera,2.9,9,0,1,1,1,0,3.60,0.00,0.00,0.00,0.00,
64,Eucalyptus baxteri,23.2,73,1,1,1,0,0,24.80,5.70,0.24,0.25,0.30,
65,Eucalyptus baxteri,8.6,27,0,1,3,1,0,15.70,0.00,0.00,0.00,0.00,
66,Eucalyptus baxteri,26.1,82,1,1,1,0,0,24.20,12.20,0.21,0.78,0.15,
67,Eucalyptus sieberi,46.2,145,1,0,0,0,0,26.00,19.40,4.60,4.80,0.45,
68,Corymbia gummifera,2.9,9,0,1,2,1,0,1.55,0.00,0.00,0.00,0.00,
69,Eucalyptus baxteri,8.3,26,1,1,3,0,0,11.00,10.50,0.19,0.32,0.25,
70,Eucalyptus baxteri,8.0,25,0,1,2,1,0,NA,0.00,0.00,0.00,0.00,
71,Eucalyptus sieberi,26.1,82,1,0,0,0,0,28.00,6.70,0.32,0.53,0.30,
72,Eucalyptus baxteri,2.5,8,0,1,2,1,0,2.30,0.00,0.00,0.00,0.00,
73,Eucalyptus baxteri,6.1,19,0,1,4,1,0,9.80,0.00,0.00,0.00,0.00,
74,Eucalyptus baxteri,10.2,32,0,1,2,1,0,9.30,0.00,0.00,0.00,0.00,
75,Corymbia gummifera,41.7,131,1,1,1,0,0,24.20,21.20,2.68,3.51,0.60,
76,Eucalyptus sieberi,35.4,111,1,0,0,0,0,26.20,17.80,0.72,2.03,0.55,
77,Corymbia gummifera,89.2,280,1,0,0,0,0,29.40,28.40,3.48,3.86,0.80,
78,Eucalyptus globoidea,86.6,272,1,1,1,0,0,31.80,20.20,0.63,0.73,0.85,
79,Corymbia gummifera,23.6,74,1,1,6,0,0,16.40,14.30,2.51,3.72,0.55,
80,Eucalyptus baxteri,37.6,118,1,1,1,0,0,26.00,25.00,0.38,0.41,0.80,
81,Corymbia gummifera,44.9,141,1,0,0,0,0,28.00,28.00,2.20,2.66,0.70,
82,Eucalyptus sieberi,28.7,90,1,1,1,0,0,22.00,15.20,0.62,0.73,0.70,
83,Eucalyptus globoidea,109.2,343,1,0,0,0,0,27.40,26.80,0.43,1.09,0.55,
84,Eucalyptus globoidea,105.1,330,1,1,1,0,0,32.80,29.60,0.71,0.79,0.65,
85,Eucalyptus sieberi,96.2,302,1,0,0,0,0,35.00,9.00,0.11,1.03,0.10,
86,Eucalyptus sieberi,86.6,272,1,0,0,0,0,32.80,4.40,0.63,0.81,0.05,
87,Eucalyptus sieberi,120.7,379,1,0,0,0,0,32.20,12.40,0.20,1.12,0.15,
88,Eucalyptus sieberi,33.1,104,1,0,0,0,0,19.00,11.80,0.68,0.87,0.45,
89,Eucalyptus sieberi,10.8,34,1,1,3,0,0,10.80,0.17,0.17,NA,0.25,
90,Eucalyptus sieberi,4.8,15,0,1,1,1,0,9.20,0.00,0.00,0.00,0.00,
91,Eucalyptus sieberi,5.1,16,0,1,3,1,0,6.20,0.00,0.00,0.00,0.00,
92,Eucalyptus globoidea,65.0,204,1,0,0,0,0,31.40,29.80,0.31,0.52,0.70,
93,Eucalyptus globoidea,19.7,62,1,0,0,0,0,19.60,5.80,0.71,0.85,0.25,
94,Eucalyptus sieberi,11.1,35,0,1,5,1,0,19.00,0.00,0.00,0.00,0.00,
95,Eucalyptus sieberi,9.9,31,1,1,2,0,0,13.80,0.26,0.18,0.26,0.15,
96,Eucalyptus globoidea,33.4,105,1,1,1,0,0,32.00,27.00,0.45,0.60,0.50,
97,Eucalyptus baxteri,13.7,43,1,0,0,0,0,20.60,8.20,0.51,0.76,0.20,
98,Eucalyptus sieberi,26.1,82,0,1,2,1,0,31.00,0.00,0.00,0.00,0.00,
99,Eucalyptus sieberi,8.9,28,0,0,0,1,1,11.40,0.00,0.00,0.00,0.00,
100,Eucalyptus sieberi,18.8,59,0,0,0,1,1,11.40,0.00,0.00,0.00,0.00,
101,Eucalyptus sieberi,41.1,129,1,0,0,0,0,34.00,19.60,4.01,4.76,0.05,
102,Eucalyptus sieberi,9.2,29,0,1,4,1,0,14.20,0.00,0.00,0.00,0.00,
103,Eucalyptus globoidea,15.9,50,0,1,3,1,0,14.00,0.00,0.00,0.00,0.00,
104,Eucalyptus sieberi,87.3,274,1,0,0,0,0,27.80,23.40,0.35,0.46,0.80,
105,Eucalyptus sieberi,3.5,11,0,0,0,1,1,7.00,0.00,0.00,0.00,0.00,
106,Eucalyptus globoidea,4.5,14,0,1,4,1,0,11.00,0.00,0.00,0.00,0.00,
107,Eucalyptus globoidea,3.5,11,0,1,4,1,0,8.00,0.00,0.00,0.00,0.00,
108,Eucalyptus sieberi,6.4,20,1,1,2,0,0,9.20,0.45,0.45,NA,0.30,
109,Corymbia gummifera,2.9,9,0,1,2,1,0,3.30,0.00,0.00,0.00,0.00,
110,Corymbia gummifera,9.2,29,1,1,1,0,0,10.20,5.50,0.31,0.37,0.30,
111,Corymbia gummifera,8.3,26,0,1,4,1,0,10.40,0.00,0.00,0.00,0.00,
112,Corymbia gummifera,64.3,202,1,0,0,0,0,26.80,24.20,10.80,0.11,0.50,
113,Eucalyptus sieberi,8.9,28,0,1,1,1,0,12.00,0.00,0.00,0.00,0.00,
114,Corymbia gummifera,4.1,13,0,1,1,1,0,2.50,0.00,0.00,0.00,0.00,
115,Eucalyptus globoidea,14.0,44,1,1,1,0,0,13.20,8.20,2.20,8.40,0.60,
116,Eucalyptus globoidea,2.9,9,0,0,0,1,1,2.60,0.00,0.00,0.00,0.00,
117,Corymbia gummifera,6.1,19,0,1,3,1,0,8.30,0.00,0.00,0.00,0.00,
118,Corymbia gummifera,5.4,17,0,1,3,1,0,7.50,0.00,0.00,0.00,0.00,
119,Eucalyptus sieberi,19.4,61,1,1,2,0,0,11.20,9.50,0.47,0.61,0.70,
120,Eucalyptus sieberi,12.1,38,0,1,1,1,0,18.60,0.00,0.00,0.00,0.00,
121,Eucalyptus sieberi,16.2,51,1,1,2,0,0,28.60,0.14,0.74,1.41,0.10,
122,Eucalyptus globoidea,10.5,33,1,1,1,0,0,13.00,0.90,0.24,0.31,0.60,
123,Eucalyptus globoidea,9.6,30,0,0,0,1,1,16.80,0.00,0.00,0.00,0.00,
124,Eucalyptus globoidea,13.1,41,0,1,5,0,0,12.50,2.40,0.45,0.52,0.35,
125,Eucalyptus globoidea,4.1,13,0,1,1,1,0,5.50,0.00,0.00,0.00,0.00,
126,Eucalyptus globoidea,4.5,14,0,1,2,1,0,5.10,0.00,0.00,0.00,0.00,
127,Corymbia gummifera,4.8,15,0,1,1,1,0,5.10,0.00,0.00,0.00,0.00,
128,Eucalyptus sieberi,54.1,170,1,0,0,0,0,27.20,21.80,0.71,7.80,0.65,
129,Corymbia gummifera,19.1,60,1,1,3,0,0,19.60,14.60,1.83,2.05,0.65,
130,Corymbia gummifera,23.6,74,1,1,2,0,0,22.40,22.40,2.65,2.84,0.70,
131,Eucalyptus globoidea,11.8,37,1,1,2,0,0,14.70,0.48,0.34,0.48,0.35,
132,Corymbia gummifera,7.6,24,0,1,3,1,0,11.00,0.00,0.00,0.00,0.00,
133,Corymbia gummifera,5.4,17,0,1,4,1,0,6.00,0.00,0.00,0.00,0.00,
134,Eucalyptus sieberi,44.3,139,1,0,0,0,0,28.40,19.60,0.76,0.90,0.70,
135,Eucalyptus sieberi,33.8,106,1,0,0,0,0,26.40,16.80,1.16,5.10,0.50,
136,Eucalyptus sieberi,43.3,136,1,0,0,0,0,26.80,24.80,1.63,1.64,0.50,
137,Corymbia gummifera,19.7,62,1,1,2,0,0,11.00,5.50,0.52,1.17,0.30,
138,Corymbia gummifera,66.9,210,1,0,0,0,0,25.40,25.40,2.70,7.50,0.45,
139,Corymbia gummifera,8.3,26,0,1,4,1,0,9.20,0.00,0.00,0.00,0.00,
140,Corymbia gummifera,3.5,11,0,1,3,1,0,2.80,0.00,0.00,0.00,0.00,
141,Corymbia gummifera,15.0,47,1,0,0,0,0,13.90,12.00,1.27,1.47,0.70,
142,Eucalyptus sieberi,8.0,25,0,1,2,1,0,10.60,0.00,0.00,0.00,0.00,
143,Corymbia gummifera,5.4,17,1,1,2,0,0,8.00,1.00,0.32,0.91,0.30,
144,Corymbia gummifera,47.8,150,1,0,0,0,0,14.40,8.40,0.66,1.17,0.65,
145,Corymbia gummifera,4.8,15,0,1,2,1,0,5.20,0.00,0.00,0.00,0.00,
146,Eucalyptus globoidea,7.6,24,0,1,2,1,0,8.20,0.00,0.00,0.00,0.00,
147,Eucalyptus globoidea,5.4,17,0,1,3,1,0,5.70,0.00,0.00,0.00,0.00,
148,Corymbia gummifera,14.0,44,1,1,3,0,0,13.30,1.24,0.60,0.92,0.20,